2026-03-18T13:12:10.208979 00123456780211204569122850022900009 -> {'device_id': 12345678, 'temperature': 21.12, 'humidity': 45.69, 'distance': 122.85, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:12:06.209025'}
2026-03-18T13:12:10.211560 00123456780211204570241520023000009 -> {'device_id': 12345678, 'temperature': 21.12, 'humidity': 45.7, 'distance': 241.52, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:12:10.211057'}
2026-03-18T13:12:10.214637 00123456780210904558122620022700009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.58, 'distance': 122.62, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:12:10.213944'}
2026-03-18T13:12:10.989872 00123456780211104557131980022700009 -> {'device_id': 12345678, 'temperature': 21.11, 'humidity': 45.57, 'distance': 131.98, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:12:10.989497'}
2026-03-18T13:12:10.991324 00123456780210904565132050022600009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.65, 'distance': 132.05, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:12:10.990543'}
2026-03-18T13:12:11.993717 00123456780210904567131810022600009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.67, 'distance': 131.81, 'mq4': 226, 'mq136': 9, 'timestamp': '2026-03-18T13:12:11.993326'}
2026-03-18T13:12:12.996271 00123456780210804568132290022700009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.68, 'distance': 132.29, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:12:12.995510'}
2026-03-18T13:12:13.998226 00123456780210904556130960022700009 -> {'device_id': 12345678, 'temperature': 21.09, 'humidity': 45.56, 'distance': 130.96, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:12:13.997821'}
2026-03-18T13:12:14.999971 00123456780210804566127550022700009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.66, 'distance': 127.55, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:12:14.999600'}
2026-03-18T13:12:16.001489 00123456780210704564132150022700009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.64, 'distance': 132.15, 'mq4': 227, 'mq136': 9, 'timestamp': '2026-03-18T13:12:16.001118'}
2026-03-18T13:12:17.004738 00123456780210704563131920022900009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.63, 'distance': 131.92, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:12:17.004354'}
2026-03-18T13:12:18.005971 00123456780210704549130540023000009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.49, 'distance': 130.54, 'mq4': 230, 'mq136': 9, 'timestamp': '2026-03-18T13:12:18.005577'}
2026-03-18T13:12:19.007892 00123456780210804552127160022800009 -> {'device_id': 12345678, 'temperature': 21.08, 'humidity': 45.52, 'distance': 127.16, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:12:19.007382'}
2026-03-18T13:12:21.021734 00123456780210604568132030022800009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.68, 'distance': 132.03, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:12:21.021385'}
2026-03-18T13:12:22.023597 00123456780210704564131950022800009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.64, 'distance': 131.95, 'mq4': 228, 'mq136': 9, 'timestamp': '2026-03-18T13:12:22.023202'}
2026-03-18T13:12:23.025560 00123456780210604556241280022900009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.56, 'distance': 241.28, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:12:23.025175'}
2026-03-18T13:12:24.027046 00123456780210704567122740022500009 -> {'device_id': 12345678, 'temperature': 21.07, 'humidity': 45.67, 'distance': 122.74, 'mq4': 225, 'mq136': 9, 'timestamp': '2026-03-18T13:12:24.026668'}
2026-03-18T13:12:25.028452 00123456780210604566241840022900009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.66, 'distance': 241.84, 'mq4': 229, 'mq136': 9, 'timestamp': '2026-03-18T13:12:25.028031'}
2026-03-18T13:12:26.029999 00123456780210604561122750022400009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.61, 'distance': 122.75, 'mq4': 224, 'mq136': 9, 'timestamp': '2026-03-18T13:12:26.029644'}
2026-03-18T13:12:27.031422 00123456780210604568131760022400009 -> {'device_id': 12345678, 'temperature': 21.06, 'humidity': 45.68, 'distance': 131.76, 'mq4': 224, 'mq136': 9, 'timestamp': '2026-03-18T13:12:27.030898'}
